video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day,subscriber_count,total_view_count,channel_created_at
F7bt1FzGxS0,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Kingdom Come: Deliverance II One-Shot,2026-02-19 20:00:08+00:00,14063,116426,4259,386,False,0.0398965866730798,234.4,180_plus,2026,2026-02,45,2587.24,2810000,1302841102,2018-05-23 17:03:19+00:00
6HmtMRETRLM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Divisive Portents | Critical Role Abridged | Campaign 3, Episode 89",2026-02-17 16:00:11+00:00,4223,9515,265,6,False,0.028481345244351,70.4,60_to_120,2026,2026-02,47,202.45,2810000,1302841102,2018-05-23 17:03:19+00:00
qPLCCtUGyoY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Flight to Castle Torch | Critical Role | Campaign 4, Episode 15",2026-02-16 20:00:42+00:00,13530,667500,15099,1398,False,0.024714606741573,225.5,180_plus,2026,2026-02,48,13906.25,2810000,1302841102,2018-05-23 17:03:19+00:00
1r1Vtt0tWWM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Seeking Sedition | Critical Role Abridged | Campaign 3, Episode 88",2026-02-10 16:00:04+00:00,4204,10585,279,7,False,0.0270193670288143,70.1,60_to_120,2026,2026-02,54,196.02,2810000,1302841102,2018-05-23 17:03:19+00:00
TRDzQIenIPQ,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Bridge Too Far | Critical Role | Campaign 4, Episode 14",2026-02-09 20:00:20+00:00,13336,672689,16236,1514,False,0.026386636320796,222.3,180_plus,2026,2026-02,55,12230.71,2810000,1302841102,2018-05-23 17:03:19+00:00
jk2m-3rpj54,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Arrival at Kreviris | Critical Role Abridged | Campaign 3, Episode 87",2026-02-03 16:00:59+00:00,4494,11326,270,18,False,0.0254282182588733,74.9,60_to_120,2026,2026-02,61,185.67,2810000,1302841102,2018-05-23 17:03:19+00:00
RWh4BFyW15M,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Seeking Sanctuary | Critical Role | Campaign 4, Episode 13",2026-02-02 20:00:15+00:00,13090,760141,17297,1326,False,0.0244994020846132,218.2,180_plus,2026,2026-02,62,12260.34,2810000,1302841102,2018-05-23 17:03:19+00:00
LDvpppNISws,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Doorways to Darker Depths | Critical Role Abridged | Campaign 3, Episode 86",2026-01-27 16:00:27+00:00,4496,11891,280,12,False,0.0245563871835842,74.9,60_to_120,2026,2026-01,68,174.87,2810000,1302841102,2018-05-23 17:03:19+00:00
WRtb_XzfNTA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Giant's Belt | Critical Role | Campaign 4, Episode 12",2026-01-26 20:00:23+00:00,12990,892349,19154,1676,False,0.0233428849026558,216.5,180_plus,2026,2026-01,69,12932.59,2810000,1302841102,2018-05-23 17:03:19+00:00
-ewgMIEA3ag,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Soldier's Table | Previously On... | Campaign 4, Ep 5-11 Recap",2026-01-21 20:00:00+00:00,586,73974,4358,163,False,0.061116067807608,9.8,under_60,2026,2026-01,74,999.65,2810000,1302841102,2018-05-23 17:03:19+00:00
lxCQ9n5Q8vY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tale Gate | Episode 1 | Discussing Up To C4E11,2026-01-21 04:07:06+00:00,4496,290580,12546,515,False,0.0449480349645536,74.9,60_to_120,2026,2026-01,74,3926.76,2810000,1302841102,2018-05-23 17:03:19+00:00
-NCqEHEXgwU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Intense Interrogations | Critical Role Abridged | Campaign 3, Episode 85",2026-01-20 16:00:00+00:00,4305,9720,260,6,False,0.0273662551440329,71.8,60_to_120,2026,2026-01,75,129.6,2810000,1302841102,2018-05-23 17:03:19+00:00
Ta2rfRcooZE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Make Merry | Critical Role | Campaign 4, Episode 11",2026-01-19 20:00:23+00:00,13225,987704,22245,1475,False,0.0240152920308108,220.4,180_plus,2026,2026-01,76,12996.11,2810000,1302841102,2018-05-23 17:03:19+00:00
Mw9DaiPDGCs,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Red Rural Revelations | Critical Role Abridged | Campaign 3, Episode 84",2026-01-13 16:00:41+00:00,4133,15308,358,16,False,0.0244316697151816,68.9,60_to_120,2026,2026-01,82,186.68,2810000,1302841102,2018-05-23 17:03:19+00:00
eZNIweY0jOM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Ruidus | Critical Role Abridged | Campaign 3, Episode 83",2026-01-06 16:01:08+00:00,4359,22689,435,19,False,0.0200096963286173,72.6,60_to_120,2026,2026-01,89,254.93,2810000,1302841102,2018-05-23 17:03:19+00:00
ohxUh7n7kJw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Blood for Blood | Critical Role | Campaign 4, Episode 10",2025-12-22 20:00:49+00:00,12741,948521,22795,1746,False,0.0258729116171386,212.4,180_plus,2025,2025-12,104,9120.39,2810000,1302841102,2018-05-23 17:03:19+00:00
sxheCPQ9mBo,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,The Long Rest | The Winters Feast & Himmelsschloss: The Castle in the Sky,2025-12-19 20:00:53+00:00,3043,76624,3440,120,False,0.0464606389642931,50.7,under_60,2025,2025-12,107,716.11,2810000,1302841102,2018-05-23 17:03:19+00:00
74NkbJlV604,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Leveling Up The Soldier Table | Lvl 3 to Lvl 4,2025-12-17 20:00:13+00:00,1067,368953,19638,785,False,0.0553539339699094,17.8,under_60,2025,2025-12,109,3384.89,2810000,1302841102,2018-05-23 17:03:19+00:00
3c8Pxk_LZ68,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Rush for the Bloody Bridge | Critical Role Abridged | Campaign 3, Episode 82",2025-12-16 16:00:06+00:00,4548,16893,360,14,False,0.0221393476587935,75.8,60_to_120,2025,2025-12,110,153.57,2810000,1302841102,2018-05-23 17:03:19+00:00
NR4rk3oma8A,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"To the Hounds! | Critical Role | Campaign 4, Episode 9",2025-12-15 20:00:22+00:00,15314,1322259,26414,1799,False,0.0213369695347129,255.2,180_plus,2025,2025-12,111,11912.24,2810000,1302841102,2018-05-23 17:03:19+00:00
rGe2SC_yhNM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,10 Year Anniversary Charity Auction | Benefitting CRF | Sponsored by eBay Live,2025-12-11 06:25:26+00:00,12521,125040,3838,119,False,0.0316458733205374,208.7,180_plus,2025,2025-12,115,1087.3,2810000,1302841102,2018-05-23 17:03:19+00:00
e_AowMiNT1o,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Eve of the Red Moon | Critical Role Abridged | Campaign 3, Episode 81",2025-12-09 13:01:20+00:00,4602,15942,377,15,False,0.0245891356166102,76.7,60_to_120,2025,2025-12,117,136.26,2810000,1302841102,2018-05-23 17:03:19+00:00
UBgjcSc9QOw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Fanged Revenge | Critical Role | Campaign 4, Episode 8",2025-12-08 20:00:19+00:00,16170,1275311,28900,2270,False,0.0244410971127826,269.5,180_plus,2025,2025-12,118,10807.72,2810000,1302841102,2018-05-23 17:03:19+00:00
fqLx5pOidG4,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Test of Truth | Critical Role Abridged | Campaign 3, Episode 80",2025-12-02 16:01:07+00:00,4046,21473,416,28,False,0.0206771294183393,67.4,60_to_120,2025,2025-12,124,173.17,2810000,1302841102,2018-05-23 17:03:19+00:00
jaiksF2l_-k,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"To Hurt Is to Heal | Critical Role Abridged | Campaign 3, Episode 79",2025-11-25 16:01:15+00:00,4676,23604,440,28,False,0.0198271479410269,77.9,60_to_120,2025,2025-11,131,180.18,2810000,1302841102,2018-05-23 17:03:19+00:00
qxUDUV2iQvI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"On the Scent | Critical Role | Campaign 4, Episode 7",2025-11-24 20:00:53+00:00,14759,1470771,29976,1830,False,0.0216253923962329,246.0,180_plus,2025,2025-11,132,11142.2,2810000,1302841102,2018-05-23 17:03:19+00:00
qxrSlzKwh9w,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Critical Role: Jester and Fjord’s Wedding - Live from Radio City Music Hall,2025-11-21 20:00:52+00:00,15844,656077,22962,1502,False,0.0372883060982171,264.1,180_plus,2025,2025-11,135,4859.83,2810000,1302841102,2018-05-23 17:03:19+00:00
RiI_APSGw8U,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Inside the Mighty Nein: Premiere Cocktail Party | Livestream,2025-11-20 04:43:40+00:00,6611,137704,5470,189,False,0.0410953930169058,110.2,60_to_120,2025,2025-11,136,1012.53,2810000,1302841102,2018-05-23 17:03:19+00:00
pN2xi8-bm4c,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Fractures | Critical Role Abridged | Campaign 3, Episode 78",2025-11-18 16:01:21+00:00,4974,17749,383,27,False,0.0230998929517155,82.9,60_to_120,2025,2025-11,138,128.62,2810000,1302841102,2018-05-23 17:03:19+00:00
WP8XS5SG04Y,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Knives and Thorns | Critical Role | Campaign 4, Episode 6",2025-11-17 20:00:25+00:00,16759,1725100,34589,2668,False,0.021597008869051,279.3,180_plus,2025,2025-11,139,12410.79,2810000,1302841102,2018-05-23 17:03:19+00:00
xFZtnxqNjFE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Promise and the Price | Critical Role Abridged | Campaign 3, Episode 77",2025-11-11 16:01:28+00:00,4580,20898,376,19,False,0.0189013302708393,76.3,60_to_120,2025,2025-11,145,144.12,2810000,1302841102,2018-05-23 17:03:19+00:00
w8ddrhcaqLk,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Branching Paths | Critical Role | Campaign 4, Episode 5",2025-11-10 20:00:00+00:00,13456,1744318,38507,2629,False,0.0235828558783432,224.3,180_plus,2025,2025-11,146,11947.38,2810000,1302841102,2018-05-23 17:03:19+00:00
